ts_code,name,call_put,exercise_price,list_date,delist_date,trade_date,exchange,pre_settle,pre_close,open,high,low,close,settle,vol,amount,oi,expire_date,days_to_expire,price_diff
10006207.SH,南方中证500ETF期权2406认购5.413,C,5.413,20231026,20240626,2024-01-05,SSE,0.1826,0.1826,0.1748,0.18,0.1427,0.1461,0.147,1913.0,307.7268,17364.0,2024-06-26,173,0.03699999999999992
10006311.SH,南方中证500ETF期权2401认购5.25,C,5.25,20231123,20240124,2024-01-08,SSE,0.1574,0.1574,0.1503,0.153,0.0756,0.0789,0.0789,81154.0,8726.5485,31540.0,2024-01-24,16,0.0
10006541.SH,南方中证500ETF期权2402认购5.25,C,5.25,20231228,20240228,2024-01-08,SSE,0.19,0.19,0.1829,0.1843,0.1134,0.1164,0.1164,10667.0,1574.783,4678.0,2024-02-28,51,0.0
10005802.SH,南方中证500ETF期权2403认购5.25,C,5.25,20230727,20240327,2024-01-08,SSE,0.2148,0.2148,0.2166,0.2166,0.1367,0.141,0.141,6184.0,1029.3617,5025.0,2024-03-27,79,0.0
10006206.SH,南方中证500ETF期权2406认购5.167,C,5.167,20231026,20240626,2024-01-08,SSE,0.2643,0.2643,0.2505,0.2515,0.1968,0.1995,0.2005,4505.0,998.8491,5452.0,2024-06-26,170,0.08300000000000018
10006311.SH,南方中证500ETF期权2401认购5.25,C,5.25,20231123,20240124,2024-01-09,SSE,0.0789,0.0789,0.0809,0.1087,0.0712,0.0774,0.0774,98575.0,8593.7826,31886.0,2024-01-24,15,0.011999999999999567
10006541.SH,南方中证500ETF期权2402认购5.25,C,5.25,20231228,20240228,2024-01-09,SSE,0.1164,0.1164,0.1158,0.1452,0.1158,0.1204,0.1204,12585.0,1590.6978,6390.0,2024-02-28,50,0.011999999999999567
10005802.SH,南方中证500ETF期权2403认购5.25,C,5.25,20230727,20240327,2024-01-09,SSE,0.141,0.141,0.1457,0.1684,0.1391,0.1407,0.1407,4833.0,717.5767,5756.0,2024-03-27,78,0.011999999999999567
10006206.SH,南方中证500ETF期权2406认购5.167,C,5.167,20231026,20240626,2024-01-09,SSE,0.2005,0.1995,0.2097,0.2258,0.191,0.1947,0.1947,3695.0,746.2167,7533.0,2024-06-26,169,0.09499999999999975
10006311.SH,南方中证500ETF期权2401认购5.25,C,5.25,20231123,20240124,2024-01-10,SSE,0.0774,0.0774,0.07,0.1024,0.0555,0.0706,0.0706,121982.0,9492.7744,35999.0,2024-01-24,14,0.001000000000000334
10006541.SH,南方中证500ETF期权2402认购5.25,C,5.25,20231228,20240228,2024-01-10,SSE,0.1204,0.1204,0.1139,0.143,0.0988,0.1158,0.1158,12215.0,1465.2745,7559.0,2024-02-28,49,0.001000000000000334
10005802.SH,南方中证500ETF期权2403认购5.25,C,5.25,20230727,20240327,2024-01-10,SSE,0.1407,0.1407,0.1402,0.1632,0.1233,0.1398,0.1398,3725.0,531.752,6006.0,2024-03-27,77,0.001000000000000334
10006206.SH,南方中证500ETF期权2406认购5.167,C,5.167,20231026,20240626,2024-01-10,SSE,0.1947,0.1947,0.1924,0.214,0.1784,0.1895,0.1895,4244.0,840.1646,9049.0,2024-06-26,168,0.08199999999999985
10006311.SH,南方中证500ETF期权2401认购5.25,C,5.25,20231123,20240124,2024-01-11,SSE,0.0706,0.0706,0.0704,0.1225,0.0661,0.0999,0.0999,117122.0,11179.9126,35760.0,2024-01-24,13,0.06200000000000028
10006541.SH,南方中证500ETF期权2402认购5.25,C,5.25,20231228,20240228,2024-01-11,SSE,0.1158,0.1158,0.1158,0.1645,0.1138,0.145,0.145,11698.0,1687.4564,7359.0,2024-02-28,48,0.06200000000000028
10005802.SH,南方中证500ETF期权2403认购5.25,C,5.25,20230727,20240327,2024-01-11,SSE,0.1398,0.1398,0.14,0.1888,0.1353,0.1714,0.1714,4576.0,764.9078,6053.0,2024-03-27,76,0.06200000000000028
10006207.SH,南方中证500ETF期权2406认购5.413,C,5.413,20231026,20240626,2024-01-11,SSE,0.0996,0.0996,0.1011,0.1288,0.1011,0.12,0.12,3383.0,378.8202,17780.0,2024-06-26,167,0.10099999999999998
10006311.SH,南方中证500ETF期权2401认购5.25,C,5.25,20231123,20240124,2024-01-12,SSE,0.0999,0.0999,0.092,0.1296,0.087,0.087,0.087,103343.0,11089.0359,34477.0,2024-01-24,12,0.041999999999999815
10006541.SH,南方中证500ETF期权2402认购5.25,C,5.25,20231228,20240228,2024-01-12,SSE,0.145,0.145,0.1407,0.1717,0.137,0.1385,0.1385,8657.0,1306.9625,7892.0,2024-02-28,47,0.041999999999999815
10005802.SH,南方中证500ETF期权2403认购5.25,C,5.25,20230727,20240327,2024-01-12,SSE,0.1714,0.1714,0.1646,0.1969,0.1624,0.163,0.163,4122.0,725.1101,6455.0,2024-03-27,75,0.041999999999999815
10006207.SH,南方中证500ETF期权2406认购5.413,C,5.413,20231026,20240626,2024-01-12,SSE,0.12,0.12,0.1173,0.1331,0.1173,0.1199,0.1188,2660.0,329.3515,17728.0,2024-06-26,166,0.12100000000000044
10006311.SH,南方中证500ETF期权2401认购5.25,C,5.25,20231123,20240124,2024-01-15,SSE,0.087,0.087,0.0827,0.1077,0.0665,0.0665,0.0665,106471.0,8771.9713,36804.0,2024-01-24,9,0.028999999999999915
10006541.SH,南方中证500ETF期权2402认购5.25,C,5.25,20231228,20240228,2024-01-15,SSE,0.1385,0.1385,0.1349,0.1543,0.119,0.119,0.119,12638.0,1701.4281,8748.0,2024-02-28,44,0.028999999999999915
10005802.SH,南方中证500ETF期权2403认购5.25,C,5.25,20230727,20240327,2024-01-15,SSE,0.163,0.163,0.1509,0.1804,0.1457,0.1492,0.1492,4108.0,654.3736,6609.0,2024-03-27,72,0.028999999999999915
10006206.SH,南方中证500ETF期权2406认购5.167,C,5.167,20231026,20240626,2024-01-15,SSE,0.2189,0.2189,0.2102,0.2293,0.2023,0.2031,0.2031,1264.0,271.3136,11841.0,2024-06-26,163,0.1120000000000001
10006311.SH,南方中证500ETF期权2401认购5.25,C,5.25,20231123,20240124,2024-01-16,SSE,0.0665,0.0665,0.0575,0.0756,0.0343,0.0602,0.0602,181861.0,9637.4957,44044.0,2024-01-24,8,0.02400000000000002
10006541.SH,南方中证500ETF期权2402认购5.25,C,5.25,20231228,20240228,2024-01-16,SSE,0.119,0.119,0.1158,0.1273,0.0875,0.1176,0.1176,20648.0,2182.4727,12250.0,2024-02-28,43,0.02400000000000002
10005802.SH,南方中证500ETF期权2403认购5.25,C,5.25,20230727,20240327,2024-01-16,SSE,0.1492,0.1492,0.1439,0.155,0.1152,0.1427,0.1427,8454.0,1137.7496,8079.0,2024-03-27,71,0.02400000000000002
10006206.SH,南方中证500ETF期权2406认购5.167,C,5.167,20231026,20240626,2024-01-16,SSE,0.2031,0.2031,0.2003,0.2083,0.1767,0.1999,0.1999,2479.0,469.284,11750.0,2024-06-26,162,0.1070000000000002
10006311.SH,南方中证500ETF期权2401认购5.25,C,5.25,20231123,20240124,2024-01-17,SSE,0.0602,0.0602,0.0549,0.0549,0.0137,0.0137,0.0137,136103.0,4818.7354,52233.0,2024-01-24,7,0.10899999999999999
10006541.SH,南方中证500ETF期权2402认购5.25,C,5.25,20231228,20240228,2024-01-17,SSE,0.1176,0.1176,0.1095,0.1117,0.0587,0.06,0.06,23392.0,2001.8397,17517.0,2024-02-28,42,0.10899999999999999
10005802.SH,南方中证500ETF期权2403认购5.25,C,5.25,20230727,20240327,2024-01-17,SSE,0.1427,0.1427,0.1427,0.1427,0.0846,0.0848,0.0848,9826.0,1150.888,9133.0,2024-03-27,70,0.10899999999999999
10006206.SH,南方中证500ETF期权2406认购5.167,C,5.167,20231026,20240626,2024-01-17,SSE,0.1999,0.1999,0.1942,0.1972,0.143,0.143,0.143,2558.0,455.9078,11713.0,2024-06-26,161,0.0259999999999998
10006311.SH,南方中证500ETF期权2401认购5.25,C,5.25,20231123,20240124,2024-01-18,SSE,0.0137,0.0137,0.0133,0.0174,0.0078,0.0162,0.0162,169571.0,1899.3584,63698.0,2024-01-24,6,0.10400000000000009
10006541.SH,南方中证500ETF期权2402认购5.25,C,5.25,20231228,20240228,2024-01-18,SSE,0.06,0.06,0.0597,0.0661,0.04,0.0606,0.0606,56467.0,2992.382,25412.0,2024-02-28,41,0.10400000000000009
10005802.SH,南方中证500ETF期权2403认购5.25,C,5.25,20230727,20240327,2024-01-18,SSE,0.0848,0.0848,0.0852,0.0924,0.0643,0.0871,0.0871,25143.0,1961.6087,10631.0,2024-03-27,69,0.10400000000000009
10006206.SH,南方中证500ETF期权2406认购5.167,C,5.167,20231026,20240626,2024-01-18,SSE,0.143,0.143,0.1453,0.155,0.1048,0.137,0.137,10441.0,1394.085,13369.0,2024-06-26,160,0.020999999999999908
10006310.SH,南方中证500ETF期权2401认购5.00,C,5.0,20231123,20240124,2024-01-19,SSE,0.146,0.1437,0.1298,0.1662,0.096,0.1016,0.106,81211.0,9640.5281,18014.0,2024-01-24,5,0.10599999999999987
10006540.SH,南方中证500ETF期权2402认购5.00,C,5.0,20231228,20240228,2024-01-19,SSE,0.179,0.179,0.167,0.1879,0.142,0.144,0.144,12885.0,2061.7035,9475.0,2024-02-28,40,0.10599999999999987
10005801.SH,南方中证500ETF期权2403认购5.00,C,5.0,20230727,20240327,2024-01-19,SSE,0.1992,0.1992,0.1901,0.2052,0.1722,0.1753,0.1753,6436.0,1179.317,4230.0,2024-03-27,68,0.10599999999999987
10006206.SH,南方中证500ETF期权2406认购5.167,C,5.167,20231026,20240626,2024-01-19,SSE,0.137,0.137,0.1318,0.1428,0.125,0.1324,0.1324,4368.0,590.4151,14727.0,2024-06-26,159,0.06099999999999994
10006309.SH,南方中证500ETF期权2401认购4.90,C,4.9,20231123,20240124,2024-01-22,SSE,0.206,0.1875,0.1871,0.1871,0.0156,0.0169,0.0169,49004.0,3590.0446,11542.0,2024-01-24,2,0.03000000000000025
10006539.SH,南方中证500ETF期权2402认购4.90,C,4.9,20231228,20240228,2024-01-22,SSE,0.208,0.2071,0.2005,0.2068,0.076,0.079,0.079,18112.0,2283.5541,10110.0,2024-02-28,37,0.03000000000000025
10005905.SH,南方中证500ETF期权2403认购4.90,C,4.9,20230822,20240327,2024-01-22,SSE,0.2352,0.245,0.2311,0.2321,0.1025,0.104,0.104,5856.0,963.0156,2640.0,2024-03-27,65,0.03000000000000025
10006204.SH,南方中证500ETF期权2406认购4.823,C,4.823,20231026,20240626,2024-01-22,SSE,0.303,0.3031,0.2899,0.2987,0.1807,0.1851,0.1851,2175.0,529.4883,1254.0,2024-06-26,156,0.04699999999999971
10006309.SH,南方中证500ETF期权2401认购4.90,C,4.9,20231123,20240124,2024-01-23,SSE,0.0169,0.0169,0.02,0.0827,0.0132,0.0409,0.048,117921.0,6000.412,9666.0,2024-01-24,1,0.04800000000000004
10006539.SH,南方中证500ETF期权2402认购4.90,C,4.9,20231228,20240228,2024-01-23,SSE,0.079,0.079,0.0825,0.1523,0.0782,0.138,0.138,45747.0,5683.0623,14314.0,2024-02-28,36,0.04800000000000004
