ts_code,name,opt_code,opt_type,call_put,exercise_price,maturity_date,list_date,delist_date
10008179.SH,华泰柏瑞沪深300ETF期权2411认沽4.70,OP510300.SH,ETF期权,P,4.7,20241127,20241009,20241127
10006695.SH,华泰柏瑞沪深300ETF期权2406认购3.60,OP510300.SH,ETF期权,C,3.6,20240626,20240118,20240626
10007162.SH,华泰柏瑞沪深300ETF期权2412认购3.60,OP510300.SH,ETF期权,C,3.6,20241225,20240425,20241225
10006660.SH,华泰柏瑞沪深300ETF期权2402认沽2.90,OP510300.SH,ETF期权,P,2.9,20240228,20240118,20240228
10007358.SH,华泰柏瑞沪深300ETF期权2407认购4.00,OP510300.SH,ETF期权,C,4.0,20240724,20240523,20240724
10006653.SH,华泰柏瑞沪深300ETF期权2402认购3.00,OP510300.SH,ETF期权,C,3.0,20240228,20240118,20240228
10006906.SH,华泰柏瑞沪深300ETF期权2403认沽3.90,OP510300.SH,ETF期权,P,3.9,20240327,20240223,20240327
10006697.SH,华泰柏瑞沪深300ETF期权2406认沽2.95,OP510300.SH,ETF期权,P,2.95,20240626,20240118,20240626
10006699.SH,华泰柏瑞沪深300ETF期权2406认沽3.10,OP510300.SH,ETF期权,P,3.1,20240626,20240118,20240626
10006937.SH,华泰柏瑞沪深300ETF期权2404认购3.40,OP510300.SH,ETF期权,C,3.4,20240424,20240229,20240424
10006602.SH,华泰柏瑞沪深300ETF期权2402认沽2.888,OP510300.SH,ETF期权,P,2.888,20240228,20240109,20240228
10006604.SH,华泰柏瑞沪深300ETF期权2403认沽2.888,OP510300.SH,ETF期权,P,2.888,20240327,20240109,20240327
10006636.SH,华泰柏瑞沪深300ETF期权2401认购3.10,OP510300.SH,ETF期权,C,3.1,20240124,20240118,20240124
10007997.SH,华泰柏瑞沪深300ETF期权2410认购4.10,OP510300.SH,ETF期权,C,4.1,20241023,20240930,20241023
10007998.SH,华泰柏瑞沪深300ETF期权2410认购4.20,OP510300.SH,ETF期权,C,4.2,20241023,20240930,20241023
10007999.SH,华泰柏瑞沪深300ETF期权2410认购4.30,OP510300.SH,ETF期权,C,4.3,20241023,20240930,20241023
10008000.SH,华泰柏瑞沪深300ETF期权2410认沽4.10,OP510300.SH,ETF期权,P,4.1,20241023,20240930,20241023
10008001.SH,华泰柏瑞沪深300ETF期权2410认沽4.20,OP510300.SH,ETF期权,P,4.2,20241023,20240930,20241023
