ts_code,name,opt_code,opt_type,call_put,exercise_price,maturity_date,list_date,delist_date
10009004.SH,易方达上证科创板50ETF期权2504认购1.00,OP588080.SH,ETF期权,C,1.0,20250423,20250227,20250423
10007439.SH,易方达上证科创板50ETF期权2407认购1.00,OP588080.SH,ETF期权,C,1.0,20240724,20240612,20240724
10008344.SH,易方达上证科创板50ETF期权2506认沽0.90,OP588080.SH,ETF期权,P,0.9,20250625,20241024,20250625
10007223.SH,易方达上证科创板50ETF期权2412认沽0.70,OP588080.SH,ETF期权,P,0.7,20241225,20240425,20241225
10008347.SH,易方达上证科创板50ETF期权2506认沽1.05,OP588080.SH,ETF期权,P,1.05,20250625,20241024,20250625
10008245.SH,易方达上证科创板50ETF期权2412认购1.15,OP588080.SH,ETF期权,C,1.15,20241225,20241009,20241225
10008257.SH,易方达上证科创板50ETF期权2503认沽1.15,OP588080.SH,ETF期权,P,1.15,20250326,20241009,20250326
10006350.SH,易方达上证科创板50ETF期权2401认购0.95,OP588080.SH,ETF期权,C,0.95,20240124,20231123,20240124
10006248.SH,易方达上证科创板50ETF期权2406认沽0.65,OP588080.SH,ETF期权,P,0.65,20240626,20231026,20240626
10009128.SH,易方达上证科创板50ETF期权2505认购1.10,OP588080.SH,ETF期权,C,1.1,20250528,20250327,20250528
10007217.SH,易方达上证科创板50ETF期权2412认购0.85,OP588080.SH,ETF期权,C,0.85,20241225,20240425,20241225
10009008.SH,易方达上证科创板50ETF期权2504认购1.20,OP588080.SH,ETF期权,C,1.2,20250423,20250227,20250423
10006841.SH,易方达上证科创板50ETF期权2406认购0.50,OP588080.SH,ETF期权,C,0.5,20240626,20240131,20240626
10007211.SH,易方达上证科创板50ETF期权2412认购0.55,OP588080.SH,ETF期权,C,0.55,20241225,20240425,20241225
10005985.SH,易方达上证科创板50ETF期权2310认购0.70,OP588080.SH,ETF期权,C,0.7,20231025,20230824,20231025
10007825.SH,易方达上证科创板50ETF期权2410认购0.45,OP588080.SH,ETF期权,C,0.45,20241023,20240910,20241023
10006259.SH,易方达上证科创板50ETF期权2406认购1.10,OP588080.SH,ETF期权,C,1.1,20240626,20231030,20240626
10006260.SH,易方达上证科创板50ETF期权2406认沽1.10,OP588080.SH,ETF期权,P,1.1,20240626,20231030,20240626
10007034.SH,易方达上证科创板50ETF期权2404认沽0.55,OP588080.SH,ETF期权,P,0.55,20240424,20240328,20240424
10005885.SH,易方达上证科创板50ETF期权2308认购0.70,OP588080.SH,ETF期权,C,0.7,20230823,20230817,20230823
10008250.SH,易方达上证科创板50ETF期权2412认沽1.20,OP588080.SH,ETF期权,P,1.2,20241225,20241009,20241225
10006359.SH,易方达上证科创板50ETF期权2401认沽0.95,OP588080.SH,ETF期权,P,0.95,20240124,20231123,20240124
10005843.SH,易方达上证科创板50ETF期权2403认购1.10,OP588080.SH,ETF期权,C,1.1,20240327,20230727,20240327
10008334.SH,易方达上证科创板50ETF期权2506认购0.85,OP588080.SH,ETF期权,C,0.85,20250625,20241024,20250625
10009016.SH,易方达上证科创板50ETF期权2504认沽1.15,OP588080.SH,ETF期权,P,1.15,20250423,20250227,20250423
10006241.SH,易方达上证科创板50ETF期权2406认购0.75,OP588080.SH,ETF期权,C,0.75,20240626,20231026,20240626
10007422.SH,易方达上证科创板50ETF期权2407认沽0.95,OP588080.SH,ETF期权,P,0.95,20240724,20240523,20240724
10008346.SH,易方达上证科创板50ETF期权2506认沽1.00,OP588080.SH,ETF期权,P,1.0,20250625,20241024,20250625
10007218.SH,易方达上证科创板50ETF期权2412认购0.90,OP588080.SH,ETF期权,C,0.9,20241225,20240425,20241225
10008656.SH,易方达上证科创板50ETF期权2502认沽0.95,OP588080.SH,ETF期权,P,0.95,20250226,20241226,20250226
10007524.SH,易方达上证科创板50ETF期权2408认购0.60,OP588080.SH,ETF期权,C,0.6,20240828,20240627,20240828
10006583.SH,易方达上证科创板50ETF期权2402认沽0.70,OP588080.SH,ETF期权,P,0.7,20240228,20231228,20240228
10007540.SH,易方达上证科创板50ETF期权2408认沽0.95,OP588080.SH,ETF期权,P,0.95,20240828,20240627,20240828
10006817.SH,易方达上证科创板50ETF期权2409认沽0.90,OP588080.SH,ETF期权,P,0.9,20240925,20240125,20240925
10008653.SH,易方达上证科创板50ETF期权2502认购1.25,OP588080.SH,ETF期权,C,1.25,20250226,20241226,20250226
10005892.SH,易方达上证科创板50ETF期权2403认沽0.70,OP588080.SH,ETF期权,P,0.7,20240327,20230817,20240327
10006628.SH,易方达上证科创板50ETF期权2402认沽0.55,OP588080.SH,ETF期权,P,0.55,20240228,20240118,20240228
10007539.SH,易方达上证科创板50ETF期权2408认沽0.90,OP588080.SH,ETF期权,P,0.9,20240828,20240627,20240828
10007946.SH,易方达上证科创板50ETF期权2411认沽0.70,OP588080.SH,ETF期权,P,0.7,20241127,20240926,20241127
10006616.SH,易方达上证科创板50ETF期权2401认沽0.60,OP588080.SH,ETF期权,P,0.6,20240124,20240109,20240124
10006619.SH,易方达上证科创板50ETF期权2403认购0.60,OP588080.SH,ETF期权,C,0.6,20240327,20240109,20240327
10008870.SH,易方达上证科创板50ETF期权2509认购1.05,OP588080.SH,ETF期权,C,1.05,20250924,20250123,20250924
10007107.SH,易方达上证科创板50ETF期权2405认购0.55,OP588080.SH,ETF期权,C,0.55,20240522,20240328,20240522
10005839.SH,易方达上证科创板50ETF期权2403认购0.90,OP588080.SH,ETF期权,C,0.9,20240327,20230727,20240327
10007109.SH,易方达上证科创板50ETF期权2405认购0.65,OP588080.SH,ETF期权,C,0.65,20240522,20240328,20240522
10007533.SH,易方达上证科创板50ETF期权2408认沽0.60,OP588080.SH,ETF期权,P,0.6,20240828,20240627,20240828
