ts_code,trade_date,open,high,low,close,vol,amount
510500.SH,20240102,5.524,5.53,5.492,5.497,3092572.47,1705665.321
510500.SH,20240103,5.49,5.517,5.461,5.49,2255497.47,1238302.777
510500.SH,20240104,5.491,5.495,5.417,5.446,2747555.34,1495540.7
510500.SH,20240105,5.438,5.463,5.356,5.376,2031987.3,1099041.995
510500.SH,20240108,5.361,5.364,5.248,5.25,2922712.27,1547033.096
510500.SH,20240109,5.252,5.309,5.238,5.262,2220794.52,1169642.672
510500.SH,20240110,5.244,5.303,5.2,5.249,2096542.18,1101714.579
